player_name,second_acct,K,D,Wins,Losses,hours,weapons_ge_1000,revives,items
[V3X]~WarpathTT,XWaarpathX,274347.00,138895.00,4821.00,3219.00,4202.00,10.00,3000.00,3000.00
V3X_ICU_Uzi,"ICU""Uzi",128660.00,66874.00,2842.00,2577.00,2077.00,10.00,3000.00,3000.00
[V3X]~The_Titan,,30051.00,21278.00,831.00,624.00,674.00,10.00,3000.00,3000.00
V3X-Lord_Jeeby,,30216.00,18038.00,680.00,598.00,497.00,10.00,3000.00,3000.00
V3X HarbyDarby,,10581.00,9522.00,291.00,220.00,243.10,10.00,3000.00,3000.00
V3XTBAGNZ,,63253.00,49008.00,766.00,629.00,2392.00,10.00,3000.00,3000.00
V3XCrazee,,51015.00,24023.00,1395.00,979.00,805.50,10.00,3000.00,3000.00
V3X-Dat-_ -M3X-_,,17411.00,11833.00,451.00,224.00,363.00,10.00,3000.00,3000.00
V3X L7 Legion,,89473.00,65436.00,2563.00,2042.00,1614.00,10.00,3000.00,3000.00
[V3X]Vlady_daddy,,7862.00,10347.00,369.00,356.00,219.40,10.00,3000.00,3000.00
V3X Mr Krabs,,4845.00,4711.00,197.00,146.00,143.00,10.00,3000.00,3000.00
